entry_time,direction,entry_price,sl,tp,exit_time,exit_price,outcome,R_multiple,date,timeframe,strategy_type
2025-04-30 09:32:00-04:00,short,40223.0,40424.115,39921.3275,2025-04-30 09:56:00-04:00,39921.3275,Win,1.5,2025-04-30,1m,Momentum
2025-05-01 09:32:00-04:00,short,40898.0,41102.49,40591.265,2025-05-01 10:00:00-04:00,40981.0,Partial Win/Loss (Session End),-0.4058878184752351,2025-05-01,1m,Momentum
2025-05-01 09:35:00-04:00,long,40914.0,40709.43,41323.14,2025-05-01 10:00:00-04:00,40981.0,Partial Win/Loss (Session End),0.32751625360512343,2025-05-01,1m,Reversal
2025-05-02 09:32:00-04:00,long,41342.0,41135.29,41652.065,2025-05-02 10:00:00-04:00,41177.0,Partial Win/Loss (Session End),-0.7982197281215263,2025-05-02,1m,Momentum
2025-05-06 09:32:00-04:00,long,41021.0,40815.895,41328.6575,2025-05-06 10:00:00-04:00,40922.0,Partial Win/Loss (Session End),-0.48267960313009656,2025-05-06,1m,Momentum
2025-05-07 09:34:00-04:00,long,41085.0,40879.575,41495.850000000006,2025-05-07 10:00:00-04:00,41156.0,Partial Win/Loss (Session End),0.34562492393817207,2025-05-07,1m,Reversal
2025-05-08 09:40:00-04:00,long,41392.0,41185.04,41805.92,2025-05-08 10:00:00-04:00,41394.0,Partial Win/Loss (Session End),0.009663703131039855,2025-05-08,1m,Reversal
2025-05-09 09:32:00-04:00,long,41559.0,41351.205,41870.6925,2025-05-09 10:00:00-04:00,41544.0,Partial Win/Loss (Session End),-0.07218652999350382,2025-05-09,1m,Momentum
2025-05-09 09:39:00-04:00,short,41553.0,41760.76499999999,41137.470000000016,2025-05-09 10:00:00-04:00,41544.0,Partial Win/Loss (Session End),0.04331817197314437,2025-05-09,1m,Reversal
2025-05-12 09:32:00-04:00,short,42307.0,42518.534999999996,41989.69750000001,2025-05-12 10:00:00-04:00,42328.0,Partial Win/Loss (Session End),-0.09927435176212152,2025-05-12,1m,Momentum
2025-05-12 09:44:00-04:00,long,42373.0,42258.357142857145,42602.28571428571,2025-05-12 10:00:00-04:00,42328.0,Partial Win/Loss (Session End),-0.3925233644859884,2025-05-12,1m,Reversal
2025-05-13 09:32:00-04:00,short,42286.0,42497.42999999999,41968.85500000001,2025-05-13 10:00:00-04:00,42345.0,Partial Win/Loss (Session End),-0.27905216856643783,2025-05-13,1m,Momentum
